name,change,opt
Детский творожок/йогурт,f,f
Детские Каши,f,f
Мясное пюре,f,f
Рыбное пюре,f,f
Овощное пюре,f,f
Фруктовое пюре,f,f
Детская Смесь,f,f
Подгузники,f,f
Салфетки,f,f
Пеленки,f,f
Детский шампунь,f,f
Детское мыло,f,f
Детский крем,f,f
