name,change,opt
Хлеб,f,f
Батон,f,f
Багет,f,f
Чиабатта,f,f
Пицца,f,f
Пирог,f,f
Лаваш,f,f
Лепёшка,f,f
Пончики,f,f
Хлебцы,f,f
Пирожки,f,f
Булочки,f,f
Кекс,f,f
