name,change,opt
Печенье,f,f
Вафли,f,f
Вафли венские,f,f
Пряники,f,f
Шоколад,f,f
Батончики Шоколадные,f,f
Батончики ореховые,f,f
Батончики злаковые,f,f
Шоколадная/ореховая паста,f,f
Конфеты,f,f
Торт,f,f
Пирожные,f,f
Рулет,f,f
Зефир,f,f
Мармелад,f,f
Пастила,f,f
Диабетические сладости,f,f
Леденцы,f,f
Драже,f,f
Пахлава,f,f
Рахат-лукум,f,f
Чак-Чак,f,f
Чурчхела,f,f
Щербет,f,f
Козинак,f,f
Нуга,f,f
Пишмание,f,f
Халва,f,f
Жевательная резинка,f,f
Мороженое,f,f
