name,change,opt
Кедровые орехи,f,f
Кешью,f,f
Арахис,f,f
Фундук,f,f
Грецкий орех,f,f
Миндаль,f,f
Фисташки,f,f
Орех Бразильский,f,f
Орех Макадамия,f,f
Семечки подсолнуха,f,f
Семечки тыквенные,f,f
Изюм,f,f
Чернослив,f,f
Яблоко сушеное,f,f
Манго сушеное,f,f
Ягоды сешеные,f,f
Чипсы банановые,f,f
Финики сушеные,f,f
Курага,f,f
Инжир сушеный,f,f
Хурма сушеная,f,f
Ананас сушеный,f,f
Цукаты,f,f
