name,change,opt
Вода газированная,f,f
Вода негазированная,f,f
Кола,f,f
Тоник,f,f
Лимонад,f,f
Газировка со вкусом,f,f
Тархун,f,f
Мохито,f,f
Сок,f,f
Свежевыжатый сок,f,f
Квас,f,f
Холодный чай,f,f
Кокосовое молоко,f,f
Вода кокосовая,f,f
Напиток миндальный,f,f
Напиток овсяный,f,f
Напиток рисовый,f,f
Напиток соевый,f,f
Безалкогольное вино,f,f
Безалкогольное пиво,f,f
Смузи,f,f
Энергетический напиток,f,f
Морс,f,f
Кисель готовый,f,f
Компот,f,f
Сбитень,f,f
Узвар,f,f
Диабетические напитки,f,f
