name,change,opt
Молоко,f,f
Сыр,f,f
Творог,f,f
Сырок,f,f
Йогурт,f,f
Творожок,f,f
Желе,f,f
Фруктовое пюре,f,f
Яйца,f,f
Масло,f,f
Маргарин,f,f
Кефир,f,f
Ряженка,f,f
Снежок,f,f
Простокваша,f,f
Сметана,f,f
Сливки,f,f
Сгущённое молоко,f,f
Варёное сгущённое молоко,f,f
Молочные коктейль,f,f
