name,change,opt
Пицца,f,f
Вареники,f,f
Пельмени,f,f
Блины,f,f
Замороженые овощи,f,f
Наггетсы,f,f
Замороженные ягоды/фрукты,f,f
Замороженные полуфабрикаты,f,f
Дамплинги,f,f
Замороженные котлеты,f,f
Замороженные тефтели,f,f
