name,change,opt
Макароны,f,f
Растительное масло,f,f
Гречка,f,f
Рис,f,f
Кускус,f,f
Булгур,f,f
Киноа,f,f
Пшено,f,f
Крупа пшеничная,f,f
Манка,f,f
Овсяные хлопья,f,f
Отруби,f,f
Крупа ячневая,f,f
Семена Амаранта,f,f
Крупа кукурузная,f,f
Перловка,f,f
Бобовые,f,f
Мука пшеничная,f,f
Мука ржаная,f,f
Мука рисовая,f,f
Мука гречневая,f,f
Мука кукурузная,f,f
Мука льняная,f,f
Нут,f,f
Горох,f,f
Фасоль,f,f
Чечевица,f,f
Нут,f,f
Горох,f,f
Фасоль,f,f
Чечевица,f,f
